X,omega
32,0
52,0
52,0
87,0
50,0
40,0
77,0
68,0
34,0
25,0
12,0
75,0
89,0
61,0
100,0
78,0
83,0
40,0
89,0
87,0
8,0
4,0
19,0
95,0
24,0
60,0
61,0
65,0
31,0
90,0
22,0
79,0
19,0
100,0
69,0
60,0
87,0
60,0
84,0
87,0
77,0
46,0
69,0
53,0
91,0
44,0
52,0
43,0
84,0
8,0
62,0
47,0
6,0
88,0
11,0
46,0
70,0
3,0
17,0
99,0
15,0
28,0
7,0
0,0
77,0
84,0
53,0
56,0
36,0
55,0
33,0
4,0
55,0
53,0
67,0
2,0
16,0
17,0
60,0
73,0
6,0
28,0
59,0
58,0
55,0
19,0
92,0
17,0
57,0
92,0
12,0
77,0
53,0
86,0
78,0
56,0
33,0
84,0
30,0
18,0
12,0
18,0
63,0
88,0
77,0
66,0
32,0
61,0
59,0
78,0
35,0
48,0
48,0
43,0
80,0
83,0
19,0
51,0
72,0
56,0
78,0
96,0
92,0
25,0
70,0
51,0
15,0
43,0
61,0
51,0
94,0
97,0
53,0
95,0
85,0
30,0
5,0
11,0
29,0
4,0
77,0
95,0
36,0
68,0
79,0
96,0
90,0
96,0
14,0
58,0
75,0
85,0
58,0
1,0
66,0
87,0
52,0
63,0
68,0
44,0
86,0
92,0
92,0
69,0
95,0
23,0
68,0
8,0
53,0
0,0
18,0
67,0
69,0
63,0
10,0
1,0
16,0
77,0
66,0
44,0
29,0
72,0
100,0
7,0
87,0
43,0
37,0
64,0
60,0
98,0
87,0
82,0
87,0
58,0
53,0
91,0
25,0
89,0
4,0
48,0
30,0
81,0
95,0
57,0
32,0
7,0
79,0
82,0
63,0
42,0
2,0
99,0
27,0
79,0
9,0
88,0
26,0
70,0
43,0
29,0
24,0
32,0
66,0
15,0
11,0
30,0
34,0
29,0
55,0
88,0
35,0
30,0
66,0
17,0
26,0
92,0
5,0
39,0
78,0
23,0
48,0
99,0
55,0
30,0
74,0
33,0
11,0
20,0
33,0
33,0
22,0
7,0
98,0
53,0
12,0
81,0
39,0
1,0
78,0
47,0
8,0
80,0
59,0
61,0
6,0
54,0
99,0
42,0
86,0
21,0
88,0
94,0
2,0
55,0
51,0
95,0
4,0
96,0
75,0
95,0
20,0
76,0
11,0
22,0
18,0
75,0
17,0
47,0
80,0
73,0
84,0
84,0
77,0
26,0
65,0
