time,MSD,epsilon,error
1,1,0.1,0
2,1.736,0.1,0.04650058064
3,2.564,0.1,0.07333419393
5,3.9,0.1,0.1265780392
8,5.6,0.1,0.1984741797
13,8.364,0.1,0.2985222002
21,11.74,0.1,0.4261788357
34,17.382,0.1,0.6371672277
55,26.648,0.1,0.9543521866
88,40.612,0.1,1.487761223
142,66.538,0.1,2.240138066
227,101.108,0.1,3.281093162
365,162.065108,0.1,5.049519697
586,251.5500651,0.1,7.869064969
941,384.7435501,0.1,11.94658647
1509,599.9967436,0.1,18.31275141
2422,975.6359967,0.1,30.46653907
3885,1581.155636,0.1,50.59608588
6233,2355.325156,0.1,72.6645161
10000,3674.337325,0.1,111.9487483
1,1,0.2,0
2,1.74,0.2,0.0451264889
3,2.552,0.2,0.07477496907
5,4.052,0.2,0.1260368835
8,5.876,0.2,0.1875543228
13,9.536,0.2,0.3256511999
21,14.664,0.2,0.4819451255
34,22.43,0.2,0.7398561347
55,37.032,0.2,1.148828523
88,58.93,0.2,1.859680376
142,96.822,0.2,3.075827095
227,158.86,0.2,5.128063611
365,244.87486,0.2,7.838146495
586,375.6808749,0.2,12.07222069
941,592.4996809,0.2,18.41880938
1509,975.0724997,0.2,31.44014378
2422,1566.455072,0.2,52.01638545
3885,2504.766455,0.2,81.72023791
6233,4013.712766,0.2,132.3226273
10000,6564.129713,0.2,211.8178024
1,1,0.05,0
2,1.586,0.05,0.04648229771
3,2.528,0.05,0.07024528454
5,3.644,0.05,0.1227732218
8,5.212,0.05,0.1909215965
13,7.58,0.05,0.2913959506
21,9.932,0.05,0.4092668763
34,12.524,0.05,0.5604189718
55,14.904,0.05,0.6657497908
88,17.014,0.05,0.8729809872
142,18.178,0.05,0.9514895249
227,18.712,0.05,1.003504388
365,19.526712,0.05,1.045883683
586,20.46952671,0.05,1.17049974
941,21.63646953,0.05,1.202269628
1509,23.88963647,0.05,1.31093816
2422,27.69988964,0.05,1.554185764
3885,33.57969989,0.05,1.668444345
6233,44.4895797,0.05,2.16087126
10000,65.00848958,0.05,2.842386492
