TIME,X
500,73
500,60
500,36
500,54
500,33
500,64
500,26
500,65
500,56
500,40
500,57
500,56
500,42
500,27
500,54
500,59
500,63
500,58
500,67
500,68
500,32
500,49
500,47
500,65
500,40
500,43
500,62
500,55
500,47
500,59
500,72
500,58
500,21
500,68
500,57
500,51
500,52
500,89
500,56
500,62
500,29
500,42
500,76
500,31
500,48
500,51
500,60
500,51
500,39
500,63
500,60
500,62
500,53
500,41
500,59
500,32
500,91
500,59
500,25
500,22
500,41
500,46
500,53
500,50
500,62
500,21
500,51
500,67
500,58
500,60
500,43
500,73
500,69
500,39
500,57
500,41
500,64
500,57
500,54
500,28
500,53
500,62
500,61
500,60
500,59
500,52
500,49
500,63
500,44
500,96
500,43
500,69
500,66
500,41
500,55
500,26
500,78
500,30
500,48
500,24
500,36
500,50
500,79
500,32
500,83
500,45
500,63
500,73
500,60
500,49
500,48
500,54
500,72
500,77
500,46
500,75
500,57
500,53
500,55
500,39
500,49
500,27
500,41
500,59
500,57
500,57
500,33
500,28
500,47
500,64
500,47
500,59
500,63
500,56
500,51
500,40
500,43
500,37
500,57
500,52
500,73
500,59
500,54
500,85
500,37
500,48
500,58
500,67
500,40
500,61
500,49
500,44
500,51
500,50
500,38
500,60
500,38
500,62
500,73
500,50
500,52
500,53
500,74
500,56
500,35
500,41
500,29
500,30
500,65
500,87
500,73
500,63
500,55
500,35
500,25
500,35
500,45
500,30
500,26
500,70
500,50
500,16
500,45
500,37
500,42
500,36
500,51
500,51
500,65
500,60
500,52
500,50
500,54
500,61
500,59
500,36
500,58
500,52
500,49
500,30
500,46
500,52
500,43
500,29
500,29
500,56
500,75
500,49
500,2
500,61
500,36
500,47
500,24
500,89
500,77
500,7
500,51
500,57
500,27
500,42
500,62
500,20
500,67
500,42
500,51
500,41
500,39
500,63
500,64
500,42
500,55
500,32
500,41
500,42
500,38
500,34
500,49
500,39
500,71
500,52
500,24
500,60
500,49
500,52
500,99
500,51
500,37
500,71
500,57
500,59
500,54
500,67
500,60
500,66
500,62
500,47
500,18
500,55
500,89
500,46
500,8
500,58
500,51
500,90
500,51
500,40
500,50
500,52
500,53
500,49
500,64
500,45
500,44
500,32
500,67
500,27
500,55
500,46
500,53
500,27
500,47
500,58
500,69
500,46
500,52
500,11
500,38
500,27
500,55
500,42
500,43
500,62
500,44
500,39
500,91
500,43
500,52
500,50
500,66
500,42
500,58
500,65
500,73
500,52
500,50
500,57
500,65
500,59
500,73
500,31
500,40
500,52
500,52
500,54
500,50
500,40
500,8
500,45
500,61
500,52
500,51
500,38
500,41
500,38
500,58
500,42
500,44
500,42
500,35
500,36
500,44
500,67
500,40
500,31
500,52
500,34
500,40
500,64
500,3
500,57
500,88
500,42
500,34
500,48
500,71
500,27
500,69
500,60
500,50
500,41
500,36
500,55
500,48
500,30
500,51
500,45
500,46
500,56
500,53
500,36
500,67
500,78
500,57
500,52
500,58
500,36
500,36
500,53
500,52
500,70
500,43
500,65
500,33
500,75
500,64
500,66
500,63
500,64
500,46
500,64
500,31
500,51
500,27
500,64
500,61
500,61
500,49
500,49
500,14
500,55
500,50
500,46
500,30
500,45
500,53
500,44
500,64
500,37
500,58
500,36
500,57
500,48
500,36
500,12
500,40
500,83
500,65
500,47
500,66
500,54
500,64
500,58
500,30
500,57
500,39
500,37
500,62
500,46
500,26
500,40
500,49
500,45
500,48
500,68
500,59
500,44
500,51
500,34
500,37
500,48
500,52
500,73
500,29
500,44
500,49
500,58
500,48
500,48
500,38
500,43
500,32
500,23
500,44
500,61
500,65
500,15
500,57
500,98
500,30
500,77
500,66
500,45
500,47
500,38
500,52
500,67
500,64
500,51
500,69
500,56
500,33
500,46
500,47
500,34
500,34
500,68
500,58
500,60
500,61
500,36
500,41
500,46
500,49
500,47
500,60
500,54
500,72
500,60
500,64
500,82
500,40
500,61
500,54
500,78
500,47
500,61
500,38
500,26
500,44
500,42
500,50
500,48
500,27
500,54
500,59
500,52
500,68
500,47
500,30
500,38
500,60
500,27
500,37
500,46
500,38
500,50
500,33
500,23
500,75
500,84
500,66
500,16
500,74
500,56
500,35
500,83
500,23
500,71
500,85
500,46
500,72
500,50
500,46
500,48
500,66
500,59
500,19
500,66
500,48
500,47
500,90
500,63
500,29
500,45
500,53
500,37
500,68
500,59
500,37
500,29
500,16
500,43
500,42
500,56
500,39
500,40
500,46
500,56
500,4
500,52
500,54
500,53
500,62
500,40
500,33
500,66
500,73
500,86
500,47
500,51
500,57
500,30
500,44
500,19
500,33
500,24
500,62
500,42
500,47
500,76
500,37
500,42
500,73
500,45
500,24
500,44
500,56
500,62
500,44
500,46
500,7
500,43
500,30
500,72
500,60
500,40
500,41
500,49
500,51
500,54
500,32
500,53
500,61
500,76
500,70
500,35
500,64
500,33
500,37
500,52
500,38
500,54
500,58
500,67
500,77
500,37
500,56
500,70
500,46
500,39
500,47
500,30
500,56
500,43
500,51
500,47
500,50
500,29
500,44
500,48
500,61
500,55
500,28
500,44
500,33
500,70
500,55
500,53
500,65
500,53
500,63
500,60
500,68
500,45
500,48
500,39
500,75
500,35
500,35
500,36
500,48
500,63
500,53
500,51
500,48
500,41
500,38
500,24
500,55
500,43
500,68
500,61
500,48
500,64
500,32
500,41
500,52
500,27
500,53
500,44
500,58
500,44
500,76
500,48
500,33
500,51
500,26
500,66
500,54
500,43
500,49
500,35
500,59
500,62
500,48
500,77
500,49
500,73
500,46
500,43
500,35
500,36
500,63
500,43
500,83
500,46
500,33
500,64
500,41
500,47
500,30
500,54
500,49
500,70
500,71
500,12
500,40
500,43
500,49
500,19
500,64
500,64
500,43
500,32
500,42
500,37
500,46
500,60
500,19
500,28
500,51
500,80
500,61
500,43
500,35
500,63
500,51
500,84
500,66
500,59
500,44
500,36
500,29
500,54
500,73
500,18
500,62
500,48
500,37
500,45
500,54
500,45
500,52
500,63
500,19
500,50
500,24
500,53
500,54
500,41
500,45
500,56
500,48
500,52
500,35
500,58
500,41
500,24
500,50
500,34
500,30
500,65
500,55
500,35
500,20
500,46
500,55
500,86
500,29
500,73
500,41
500,35
500,49
500,43
500,47
500,30
500,65
500,50
500,31
500,86
500,79
500,95
500,48
500,55
500,48
500,78
500,66
500,54
500,55
500,17
500,55
500,33
500,42
500,73
500,29
500,55
500,62
500,43
500,74
500,70
500,70
500,53
500,70
500,72
500,31
500,54
500,48
500,29
500,23
500,45
500,50
500,44
500,46
500,59
500,41
500,52
500,52
500,50
500,24
500,56
500,33
500,74
500,28
500,42
500,36
500,86
500,66
500,43
500,59
500,34
500,49
500,50
500,47
500,39
500,36
500,75
500,61
500,60
500,51
500,24
500,43
500,71
500,35
500,49
500,62
500,57
500,39
500,60
500,33
500,38
500,42
500,49
500,16
500,41
500,20
500,54
500,44
500,45
500,57
500,75
500,52
500,63
500,50
500,40
500,46
500,65
500,32
500,84
500,14
500,26
500,68
500,31
500,53
500,56
500,67
500,67
500,67
500,59
500,61
500,69
500,53
500,73
500,55
500,66
500,30
500,39
500,44
500,42
500,54
500,55
500,32
500,81
500,20
500,71
500,59
500,34
500,68
500,60
500,80
500,35
500,30
500,33
500,19
500,52
500,68
500,50
500,56
500,47
500,62
500,24
500,9
500,41
500,43
500,71
500,46
500,55
500,38
500,55
500,40
500,62
500,50
500,17
500,58
500,36
500,45
500,36
500,31
500,41
500,54
500,75
500,41
500,49
500,67
500,26
500,69
500,25
500,32
500,53
500,61
500,27
500,47
500,44
500,35
500,54
500,13
500,18
500,64
500,62
500,31
500,38
500,57
500,48
500,33
500,67
500,50
500,34
500,53
500,32
500,63
500,24
500,71
500,47
500,59
500,32
500,35
500,29
500,58
500,59
500,53
500,24
500,68
500,52
500,76
500,39
500,19
500,44
500,71
500,50
500,46
500,70
500,58
500,28
500,54
500,37
500,41
500,42
500,68
500,71
500,28
500,52
500,75
500,52
500,46
500,79
500,39
500,36
500,65
500,99
500,58
500,71
500,60
500,69
500,47
500,76
500,39
500,70
500,5
500,50
500,35
500,47
1500,57
1500,65
1500,60
1500,35
1500,3
1500,57
1500,25
1500,85
1500,73
1500,67
1500,77
1500,65
1500,59
1500,34
1500,29
1500,80
1500,55
1500,63
1500,63
1500,57
1500,34
1500,69
1500,26
1500,95
1500,41
1500,23
1500,82
1500,55
1500,82
1500,54
1500,61
1500,81
1500,40
1500,45
1500,89
1500,88
1500,42
1500,88
1500,71
1500,54
1500,53
1500,52
1500,64
1500,22
1500,57
1500,10
1500,52
1500,18
1500,29
1500,89
1500,86
1500,81
1500,36
1500,47
1500,60
1500,20
1500,94
1500,48
1500,57
1500,68
1500,46
1500,50
1500,46
1500,67
1500,67
1500,31
1500,60
1500,71
1500,21
1500,29
1500,30
1500,38
1500,59
1500,2
1500,64
1500,58
1500,35
1500,59
1500,47
1500,26
1500,5
1500,63
1500,28
1500,32
1500,13
1500,42
1500,22
1500,84
1500,65
1500,86
1500,1
1500,79
1500,81
1500,41
1500,45
1500,27
1500,88
1500,32
1500,59
1500,27
1500,53
1500,64
1500,83
1500,27
1500,76
1500,43
1500,54
1500,99
1500,97
1500,49
1500,41
1500,40
1500,54
1500,49
1500,97
1500,22
1500,27
1500,45
1500,57
1500,73
1500,57
1500,21
1500,71
1500,91
1500,70
1500,47
1500,60
1500,77
1500,24
1500,94
1500,20
1500,71
1500,51
1500,65
1500,58
1500,29
1500,47
1500,46
1500,80
1500,29
1500,73
1500,87
1500,58
1500,63
1500,41
1500,39
1500,65
1500,49
1500,81
1500,69
1500,40
1500,55
1500,56
1500,48
1500,24
1500,73
1500,46
1500,71
1500,95
1500,40
1500,57
1500,59
1500,67
1500,30
1500,21
1500,10
1500,63
1500,9
1500,99
1500,80
1500,87
1500,29
1500,39
1500,14
1500,35
1500,31
1500,66
1500,24
1500,42
1500,68
1500,28
1500,19
1500,33
1500,31
1500,34
1500,4
1500,37
1500,40
1500,47
1500,99
1500,11
1500,99
1500,43
1500,60
1500,72
1500,68
1500,70
1500,48
1500,57
1500,33
1500,34
1500,4
1500,63
1500,10
1500,26
1500,25
1500,81
1500,15
1500,24
1500,60
1500,7
1500,81
1500,32
1500,92
1500,72
1500,2
1500,13
