time,MSD,k,error
1,1,0.1,0
2,2.256,0.1,0.0627253059
3,3.664,0.1,0.119227111
5,5.88,0.1,0.2248412773
8,9.724,0.1,0.3872619579
13,17.592,0.1,0.7217988196
21,25.888,0.1,1.121161655
34,42.14,0.1,1.734436047
55,64.32,0.1,2.774187016
88,109.532,0.1,4.998691526
142,171.9,0.1,7.982577403
227,276.328,0.1,12.23977763
365,439.356328,0.1,18.58163487
586,706.8033563,0.1,30.51342548
941,1085.722803,0.1,49.05155657
1509,1790.029723,0.1,80.4446841
2422,2999.85003,0.1,130.1062177
3885,4575.02385,0.1,206.9382581
6233,7722.055024,0.1,339.800519
10000,11812.65406,0.1,531.5145309
1,1,0.5,0
2,2.928,0.5,0.05602513722
3,5.2,0.5,0.1263328936
5,10.832,0.5,0.3129788747
8,19.224,0.5,0.6458775612
13,32.456,0.5,1.247932716
21,53.232,0.5,2.245723531
34,87.684,0.5,3.610054313
55,144.024,0.5,6.27758484
88,234.444,0.5,10.07901398
142,358.88,0.5,16.38772497
227,631.776,0.5,27.07253615
365,974.343776,0.5,41.90198417
586,1575.706344,0.5,70.78309652
941,2531.887706,0.5,115.0826539
1509,4098.947888,0.5,192.5502306
2422,6446.210948,0.5,286.1664378
3885,10250.05421,0.5,460.7290015
6233,16557.43405,0.5,754.4841947
10000,26742.24543,0.5,1231.056049
1,1,1,0
2,3.52,1,0.04110474425
3,7.288,1,0.1037547878
5,16.92,1,0.3181848519
8,33.916,1,0.8347795781
13,68.328,1,1.941462443
21,131.12,1,4.348224649
34,231.94,1,8.146515108
55,381.096,1,14.76964207
88,615.856,1,27.17548269
142,997.04,1,45.01963739
227,1639.088,1,78.25223294
365,2639.983088,1,111.0472967
586,4406.031983,1,194.0724197
941,6866.910032,1,300.4210182
1509,10397.69891,1,453.1598133
2422,17714.3097,1,812.8728255
3885,27609.73831,1,1213.826192
6233,47166.27374,1,2110.418701
10000,74268.23027,1,3439.664889
