time,MSD,omega,error
1,1,0.05,0
2,1.944,0.05,0.03137565936
3,2.918,0.05,0.05459521957
5,4.678,0.05,0.09558325167
8,7.644,0.05,0.1577232767
13,12.212,0.05,0.2695654429
21,19.464,0.05,0.4258595449
34,31.404,0.05,0.7113103345
55,51.086,0.05,1.16609275
88,81.08,0.05,1.921530848
142,129.581,0.05,2.915748484
227,203.036,0.05,4.754273799
365,315.98,0.05,7.115214108
586,484.963,0.05,11.31709209
941,769.586,0.05,18.58692294
1509,1139.642,0.05,27.10954596
2422,1708.464,0.05,41.92372319
3885,2358.16,0.05,65.11698131
6233,3002.112,0.05,94.33951748
10000,3448.633,0.05,121.7309671
1,1,0.1,0
2,1.966,0.1,0.03199096748
3,2.852,0.1,0.05333899137
5,4.562,0.1,0.09275816945
8,7.284,0.1,0.1595044576
13,11.916,0.1,0.2667367091
21,18.578,0.1,0.4362372726
34,29.516,0.1,0.680689997
55,44.52,0.1,1.091335329
88,65.604,0.1,1.587322145
142,101.587,0.1,2.525168453
227,149.314,0.1,3.932557781
365,207.704,0.1,5.955835474
586,261.258,0.1,7.973800394
941,303.648,0.1,10.69084422
1509,316.946,0.1,11.86222081
2422,315.253,0.1,11.49353879
3885,315.242,0.1,11.50783293
6233,315.242,0.1,11.50783293
10000,315.253,0.1,11.49353879
1,1,0.2,0
2,1.948,0.2,0.03262894421
3,2.808,0.2,0.05334386563
5,4.29,0.2,0.08863379717
8,6.781,0.2,0.1490705185
13,10.586,0.2,0.2449700022
21,15.64,0.2,0.3868891314
34,22.553,0.2,0.5839880953
55,31.284,0.2,0.8909049736
88,40.362,0.2,1.293449063
142,47.913,0.2,1.765409645
227,50.478,0.2,2.032507751
365,52.152,0.2,2.338989621
586,52.243,0.2,2.410414378
941,52.45,0.2,2.412601241
1509,52.45,0.2,2.412601241
2422,52.243,0.2,2.410414378
3885,52.45,0.2,2.412601241
6233,52.45,0.2,2.412601241
10000,52.243,0.2,2.410414378
